comment_id,video_id,author,text,like_count,published_at,reply_count,is_reply
UgwA5-RDQsmEdr4io-d4AaABAg,j2qUj7a0ja8,@Suraj123-India,"*Dhruv Rathee is on a Mission to Intitute young Generation*
❤❤❤❤❤❤❤",6,2026-01-31T20:56:05Z,0,False
UgxM2yBmYA2JDKdy5Td4AaABAg,j2qUj7a0ja8,@study_motivation12930,greatest youtuber in indian history  dhruv rathi thanks bro,318,2026-01-31T06:25:34Z,4,False
UgxM2yBmYA2JDKdy5Td4AaABAg.ASd3PhwasR3ASfJds_FeLD,j2qUj7a0ja8,@scroll.withmohit,😂,2,2026-02-01T03:25:55Z,0,True
UgxM2yBmYA2JDKdy5Td4AaABAg.ASd3PhwasR3ASh06xwNJsb,j2qUj7a0ja8,@SupamChang,No doubt... He is popular in Northeast India too,15,2026-02-01T19:13:45Z,0,True
UgxM2yBmYA2JDKdy5Td4AaABAg.ASd3PhwasR3ASiKQg_brMK,j2qUj7a0ja8,@IMLUFFYYI,​@SupamChangtrue... I never missed his videos.,3,2026-02-02T07:30:27Z,0,True
UgxM2yBmYA2JDKdy5Td4AaABAg.ASd3PhwasR3AT0HZLzD3uG,j2qUj7a0ja8,@BEYONDERgaming0009,Abhe bklAndi k 😂,0,2026-02-09T16:10:59Z,0,True
Ugwz4qt8rqmSLtf74ut4AaABAg,j2qUj7a0ja8,@NirajK2725,Dhruv sir students ke liye AI Fiesta me free model add kar dijiye ❤❤❤❤,4,2026-02-02T07:47:15Z,0,False
Ugy_4IgMlwKEuzpOdMp4AaABAg,j2qUj7a0ja8,@SudhirKumar-if5li,Atleast he is not using teleprompter 😂,93,2026-01-31T01:18:08Z,4,False
Ugy_4IgMlwKEuzpOdMp4AaABAg.AScWDzg528uASiwRl1N_4u,j2qUj7a0ja8,@SatyamDevu,😂 😂 😂 इनको मोदी नहीं हुआ है 😂 😂,1,2026-02-02T13:11:23Z,0,True
Ugy_4IgMlwKEuzpOdMp4AaABAg.AScWDzg528uASm4OKE9eAB,j2qUj7a0ja8,@basicallyhumanoid,"So according to even putin, xi jin ping, kim jomg un, prime minister of japan are nothing in front of dhurv rathee?- they too use telepromoter right?.. and english is just a mere language... did aryabhata, bhaskaracharya, al baruni and buddha knew english?",1,2026-02-03T18:27:17Z,0,True
Ugy_4IgMlwKEuzpOdMp4AaABAg.AScWDzg528uASnaE5o8Dtr,j2qUj7a0ja8,@refarmarak18,😂😂👍,0,2026-02-04T08:33:29Z,0,True
Ugy_4IgMlwKEuzpOdMp4AaABAg.AScWDzg528uASo679Mr23u,j2qUj7a0ja8,@SubjugatingMonarch,look at his hand a paper script,2,2026-02-04T13:20:53Z,0,True
Ugx0nyPi-axXqAPSc8J4AaABAg,j2qUj7a0ja8,@kimjong_un79,Dhruv rathee bhai ka english me speech sunkar lag raha hai ki hm bhi english samjh sakte hai😅,2,2026-02-01T16:24:37Z,0,False
UgwYmW208LzhJrhxQZN4AaABAg,j2qUj7a0ja8,@VashuKumarMaurya,"Dhruv bhaiya Aura 💀😈
$2.5 million revenue in 4 month",507,2026-01-30T18:56:40Z,16,False
UgwYmW208LzhJrhxQZN4AaABAg.ASbp_6JiEI3ASceBX7cyc_,j2qUj7a0ja8,@quotesver,Revenue and margin alag chiz h bhai,29,2026-01-31T02:36:26Z,0,True
UgwYmW208LzhJrhxQZN4AaABAg.ASbp_6JiEI3AScjWFcMJMx,j2qUj7a0ja8,@comment_padne_aayeho,​@quotesveraccha 😅,3,2026-01-31T03:22:57Z,0,True
UgwYmW208LzhJrhxQZN4AaABAg.ASbp_6JiEI3ASd-UhfHnLY,j2qUj7a0ja8,@RealRock9460,​@comment_padne_aayehoHis net worth 95 crores. Per month YouTube income 5.6 crores,0,2026-01-31T05:51:17Z,0,True
UgwYmW208LzhJrhxQZN4AaABAg.ASbp_6JiEI3ASdFzV4CB6d,j2qUj7a0ja8,@logicx9384,Net income and Gross income do alag Cheez h brother.,5,2026-01-31T08:15:27Z,0,True
UgwYmW208LzhJrhxQZN4AaABAg.ASbp_6JiEI3ASdJT3nTTJH,j2qUj7a0ja8,@farhanmomin862,And he is partner not whole company is his.,0,2026-01-31T08:45:50Z,0,True
UgzAeVM1Fkz28eo_gdV4AaABAg,j2qUj7a0ja8,@birbhadrabarman-j2v,Because Ai Fiesta is internetion app,6,2026-02-01T02:51:10Z,0,False
UgxU5rWHNSzcYdeIARJ4AaABAg,j2qUj7a0ja8,@sumittivari815,Dhruv rathee sir be like: I can be anywhere....but my t-shirt will be traditional 😅😅... but great sir 👍 😊,357,2026-01-31T03:13:29Z,5,False
UgxU5rWHNSzcYdeIARJ4AaABAg.ASciQqzVkLJASjKASAVLMT,j2qUj7a0ja8,@thenextbanker8971,He is inspired from mark Zuckerberg 😂,2,2026-02-02T16:47:28Z,0,True
UgxU5rWHNSzcYdeIARJ4AaABAg.ASciQqzVkLJASjv1xv9Taw,j2qUj7a0ja8,@QuantumNinja1.9v,​@thenextbanker8971  Mark took the inspiration from Steve Jobs,1,2026-02-02T22:18:22Z,0,True
UgxU5rWHNSzcYdeIARJ4AaABAg.ASciQqzVkLJASkN36jqEw7,j2qUj7a0ja8,@sumittivari815,​@thenextbanker8971😂😂 right !!!!!!!!!!!!,1,2026-02-03T02:31:55Z,0,True
UgxU5rWHNSzcYdeIARJ4AaABAg.ASciQqzVkLJASkN5hC7RlQ,j2qUj7a0ja8,@sumittivari815,​@QuantumNinja1.9v who was last ? 😂😂,0,2026-02-03T02:32:17Z,0,True
